SPRINT 2 RATIO EDGE CASE LOG
============================================================

ADANIPOWER | 2018-03 | ROE difference = 293.66% | Category: VERSION_DIFFERENCE
ADANIPOWER | 2019-03 | ROCE difference = 18.61% | Category: FORMULA_DISCREPANCY
ADANIPOWER | 2019-03 | ROE difference = 69.86% | Category: VERSION_DIFFERENCE
ADANIPOWER | 2020-03 | ROCE difference = 22.38% | Category: VERSION_DIFFERENCE
ADANIPOWER | 2020-03 | ROE difference = 92.20% | Category: VERSION_DIFFERENCE
ADANIPOWER | 2021-03 | ROCE difference = 16.05% | Category: FORMULA_DISCREPANCY
ADANIPOWER | 2021-03 | ROE difference = 47.41% | Category: VERSION_DIFFERENCE
ADANIPOWER | 2022-03 | ROCE difference = 11.80% | Category: FORMULA_DISCREPANCY
ADANIPOWER | 2022-03 | ROE difference = 30.49% | Category: VERSION_DIFFERENCE
ADANIPOWER | 2023-03 | ROCE difference = 12.38% | Category: FORMULA_DISCREPANCY
ADANIPOWER | 2023-03 | ROE difference = 21.19% | Category: VERSION_DIFFERENCE
ADANIPOWER | 2024-03 | ROE difference = 8.82% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2012-12 | ROCE difference = 15.90% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2012-12 | ROE difference = 5.45% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2013-12 | ROCE difference = 8.85% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2014-12 | ROCE difference = 10.49% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2014-12 | ROE difference = 5.53% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2015-12 | ROCE difference = 5.59% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2016-12 | ROCE difference = 5.45% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2017-12 | ROCE difference = 7.46% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2018-12 | ROCE difference = 6.13% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2019-12 | ROCE difference = 8.75% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2020-12 | ROCE difference = 9.99% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2021-12 | ROCE difference = 12.22% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2021-12 | ROE difference = 5.40% | Category: FORMULA_DISCREPANCY
AMBUJACEM | 2024-03 | ROCE difference = 5.71% | Category: FORMULA_DISCREPANCY
APOLLOHOSP | 2016-03 | ROE difference = 6.76% | Category: FORMULA_DISCREPANCY
APOLLOHOSP | 2017-03 | ROE difference = 9.86% | Category: FORMULA_DISCREPANCY
APOLLOHOSP | 2018-03 | ROE difference = 11.96% | Category: FORMULA_DISCREPANCY
APOLLOHOSP | 2019-03 | ROE difference = 7.81% | Category: FORMULA_DISCREPANCY
APOLLOHOSP | 2020-03 | ROCE difference = 8.94% | Category: FORMULA_DISCREPANCY
APOLLOHOSP | 2021-03 | ROE difference = 10.83% | Category: FORMULA_DISCREPANCY
APOLLOHOSP | 2022-03 | ROCE difference = 9.19% | Category: FORMULA_DISCREPANCY
APOLLOHOSP | 2022-03 | ROE difference = 5.89% | Category: FORMULA_DISCREPANCY
ASIANPAINT | 2013-03 | ROCE difference = 9.17% | Category: FORMULA_DISCREPANCY
ASIANPAINT | 2014-03 | ROCE difference = 7.88% | Category: FORMULA_DISCREPANCY
ASIANPAINT | 2018-03 | ROE difference = 6.50% | Category: FORMULA_DISCREPANCY
ASIANPAINT | 2019-03 | ROE difference = 8.14% | Category: FORMULA_DISCREPANCY
ASIANPAINT | 2021-03 | ROE difference = 6.41% | Category: FORMULA_DISCREPANCY
ASIANPAINT | 2022-03 | ROCE difference = 8.63% | Category: FORMULA_DISCREPANCY
ASIANPAINT | 2022-03 | ROE difference = 9.11% | Category: FORMULA_DISCREPANCY
ASIANPAINT | 2023-03 | ROE difference = 5.22% | Category: FORMULA_DISCREPANCY
ATGL | 2019-03 | ROCE difference = 13.16% | Category: FORMULA_DISCREPANCY
ATGL | 2020-03 | ROCE difference = 12.45% | Category: FORMULA_DISCREPANCY
ATGL | 2020-03 | ROE difference = 9.14% | Category: FORMULA_DISCREPANCY
ATGL | 2021-03 | ROCE difference = 8.60% | Category: FORMULA_DISCREPANCY
AXISBANK | 2017-03 | ROE difference = 11.87% | Category: FORMULA_DISCREPANCY
AXISBANK | 2018-03 | ROE difference = 17.97% | Category: FORMULA_DISCREPANCY
AXISBANK | 2019-03 | ROE difference = 11.50% | Category: FORMULA_DISCREPANCY
AXISBANK | 2020-03 | ROE difference = 16.52% | Category: FORMULA_DISCREPANCY
AXISBANK | 2021-03 | ROE difference = 12.04% | Category: FORMULA_DISCREPANCY
AXISBANK | 2022-03 | ROE difference = 7.39% | Category: FORMULA_DISCREPANCY
AXISBANK | 2023-03 | ROE difference = 11.02% | Category: FORMULA_DISCREPANCY
BAJAJ-AUTO | 2013-03 | ROCE difference = 20.85% | Category: VERSION_DIFFERENCE
